frame,t,centroid_x,centroid_y,depth_m,norm_gx,norm_gy,norm_gz,wrist_yaw,wrist_pitch,wrist_roll,curl_thumb,curl_index,curl_middle,curl_ring,curl_pinky,gripper_x_act,gripper_y_act,gripper_z_act,wrist_abduction_yaw_act,wrist_flex_pitch_act,wrist_roll_act,thumb_base_act,thumb_ip_act,thumb_mcp_act,thumb_roll_act,index_abd_act,index_dip_act,index_mcp_act,index_pip_act,middle_dip_act,middle_mcp_act,middle_pip_act,ring_abd_act,ring_dip_act,ring_mcp_act,ring_pip_act,pinky_abd_act,pinky_dip_act,pinky_mcp_act
0,3.1534128189086914,235.0,166.0,0.7160000205039978,-0.2644757330417633,0.12615391612052917,0.3068893551826477,0.4132537841796875,0.7514928579330444,0.15961602330207825,0.05642716959118843,0.020309437066316605,0.02882448025047779,0.04170539975166321,0.0321006253361702,-0.2644757330417633,0.12615391612052917,0.3068893551826477,-0.1734924614429474,0.5029857754707336,-0.6807679533958435,-0.8871456384658813,-0.8871456384658813,-0.8871456384658813,-0.8871456384658813,-0.959381103515625,-0.959381103515625,-0.959381103515625,-0.959381103515625,-0.9423510432243347,-0.9423510432243347,-0.9423510432243347,-0.9165892004966736,-0.9165892004966736,-0.9165892004966736,-0.9165892004966736,-0.9357987642288208,-0.9357987642288208,-0.9357987642288208
1,3.184246063232422,236.0,166.0,0.718000054359436,-0.26134586334228516,0.13230785727500916,0.3068893551826477,0.41891276836395264,0.7507679462432861,0.15148770809173584,0.06106150150299072,0.020072687417268753,0.028793202713131905,0.04447405785322189,0.0338887944817543,-0.26134586334228516,0.13230785727500916,0.3068893551826477,-0.16217447817325592,0.5015358924865723,-0.6970245838165283,-0.8778769969940186,-0.8778769969940186,-0.8778769969940186,-0.8778769969940186,-0.9598546028137207,-0.9598546028137207,-0.9598546028137207,-0.9598546028137207,-0.9424135684967041,-0.9424135684967041,-0.9424135684967041,-0.911051869392395,-0.911051869392395,-0.911051869392395,-0.911051869392395,-0.9322224259376526,-0.9322224259376526,-0.9322224259376526
2,3.2155380249023438,235.0,166.0,0.7150000333786011,-0.2644757330417633,0.12307702749967575,0.3068893551826477,0.41506171226501465,0.7488619685173035,0.156254380941391,0.0614803284406662,0.0194261334836483,0.030434373766183853,0.04595693573355675,0.035947270691394806,-0.2644757330417633,0.12307702749967575,0.3068893551826477,-0.1698765903711319,0.4977239966392517,-0.687491238117218,-0.87703937292099,-0.87703937292099,-0.87703937292099,-0.87703937292099,-0.9611477255821228,-0.9611477255821228,-0.9611477255821228,-0.9611477255821228,-0.9391312599182129,-0.9391312599182129,-0.9391312599182129,-0.9080861210823059,-0.9080861210823059,-0.9080861210823059,-0.9080861210823059,-0.9281054735183716,-0.9281054735183716,-0.9281054735183716
3,3.246260404586792,236.0,166.0,0.718000054359436,-0.26134586334228516,0.13230785727500916,0.3068893551826477,0.4149409532546997,0.7497424483299255,0.15574020147323608,0.0669194757938385,0.022093895822763443,0.03246156498789787,0.04330473765730858,0.030535561963915825,-0.26134586334228516,0.13230785727500916,0.3068893551826477,-0.17011809349060059,0.49948495626449585,-0.6885195970535278,-0.866161048412323,-0.866161048412323,-0.866161048412323,-0.866161048412323,-0.9558122158050537,-0.9558122158050537,-0.9558122158050537,-0.9558122158050537,-0.935076892375946,-0.935076892375946,-0.935076892375946,-0.9133905172348022,-0.9133905172348022,-0.9133905172348022,-0.9133905172348022,-0.9389289021492004,-0.9389289021492004,-0.9389289021492004
4,3.2782704830169678,235.0,166.0,0.7150000333786011,-0.2644757330417633,0.12307702749967575,0.3068893551826477,0.4180688261985779,0.7496689558029175,0.15622569620609283,0.06497198343276978,0.021119343116879463,0.03149143606424332,0.04483187571167946,0.03690958395600319,-0.2644757330417633,0.12307702749967575,0.3068893551826477,-0.16386236250400543,0.4993378520011902,-0.6875486373901367,-0.8700560331344604,-0.8700560331344604,-0.8700560331344604,-0.8700560331344604,-0.957761287689209,-0.957761287689209,-0.957761287689209,-0.957761287689209,-0.9370171427726746,-0.9370171427726746,-0.9370171427726746,-0.9103362560272217,-0.9103362560272217,-0.9103362560272217,-0.9103362560272217,-0.9261808395385742,-0.9261808395385742,-0.9261808395385742
5,3.3094043731689453,235.0,166.0,0.7170000076293945,-0.2644757330417633,0.129230797290802,0.3068893551826477,0.41857224702835083,0.750735878944397,0.15221579372882843,0.054068874567747116,0.022952372208237648,0.027073495090007782,0.037495967000722885,0.03247181326150894,-0.2644757330417633,0.129230797290802,0.3068893551826477,-0.16285553574562073,0.5014718174934387,-0.6955684423446655,-0.8918622732162476,-0.8918622732162476,-0.8918622732162476,-0.8918622732162476,-0.9540952444076538,-0.9540952444076538,-0.9540952444076538,-0.9540952444076538,-0.9458529949188232,-0.9458529949188232,-0.9458529949188232,-0.9250080585479736,-0.9250080585479736,-0.9250080585479736,-0.9250080585479736,-0.9350563883781433,-0.9350563883781433,-0.9350563883781433
6,3.3412866592407227,235.0,166.0,0.7170000076293945,-0.2644757330417633,0.129230797290802,0.3068893551826477,0.4211094081401825,0.7483793497085571,0.15433932840824127,0.06392375379800797,0.02027459256350994,0.030825955793261528,0.04316280037164688,0.03461451083421707,-0.2644757330417633,0.129230797290802,0.3068893551826477,-0.15778115391731262,0.49675872921943665,-0.6913213729858398,-0.8721525073051453,-0.8721525073051453,-0.8721525073051453,-0.8721525073051453,-0.9594508409500122,-0.9594508409500122,-0.9594508409500122,-0.9594508409500122,-0.938348114490509,-0.938348114490509,-0.938348114490509,-0.9136744141578674,-0.9136744141578674,-0.9136744141578674,-0.9136744141578674,-0.930770993232727,-0.930770993232727,-0.930770993232727
7,3.388296604156494,235.0,166.0,0.718000054359436,-0.2644757330417633,0.13230785727500916,0.3068893551826477,0.41710424423217773,0.7492396235466003,0.15688860416412354,0.05707249790430069,0.02182748354971409,0.031211286783218384,0.04183531552553177,0.03198470547795296,-0.2644757330417633,0.13230785727500916,0.3068893551826477,-0.16579154133796692,0.49847930669784546,-0.6862227916717529,-0.8858550190925598,-0.8858550190925598,-0.8858550190925598,-0.8858550190925598,-0.9563450217247009,-0.9563450217247009,-0.9563450217247009,-0.9563450217247009,-0.9375774264335632,-0.9375774264335632,-0.9375774264335632,-0.9163293838500977,-0.9163293838500977,-0.9163293838500977,-0.9163293838500977,-0.9360305666923523,-0.9360305666923523,-0.9360305666923523
8,3.4203035831451416,235.0,165.0,0.7170000076293945,-0.2644757330417633,0.129230797290802,0.3110647201538086,0.4189119040966034,0.7499526143074036,0.15418116748332977,0.05778965353965759,0.022497817873954773,0.02977581135928631,0.04241390526294708,0.03308641538023949,-0.2644757330417633,0.129230797290802,0.3110647201538086,-0.16217617690563202,0.4999052584171295,-0.6916376352310181,-0.8844206929206848,-0.8844206929206848,-0.8844206929206848,-0.8844206929206848,-0.9550043940544128,-0.9550043940544128,-0.9550043940544128,-0.9550043940544128,-0.9404484033584595,-0.9404484033584595,-0.9404484033584595,-0.9151721596717834,-0.9151721596717834,-0.9151721596717834,-0.9151721596717834,-0.9338271617889404,-0.9338271617889404,-0.9338271617889404
9,3.4513132572174072,235.0,166.0,0.718000054359436,-0.2644757330417633,0.13230785727500916,0.3068893551826477,0.4168844223022461,0.7498787045478821,0.1553172767162323,0.0635233223438263,0.022506682202219963,0.032222699373960495,0.03975928947329521,0.030485207214951515,-0.2644757330417633,0.13230785727500916,0.3068893551826477,-0.166231170296669,0.4997573494911194,-0.6893654465675354,-0.8729533553123474,-0.8729533553123474,-0.8729533553123474,-0.8729533553123474,-0.9549866318702698,-0.9549866318702698,-0.9549866318702698,-0.9549866318702698,-0.9355546236038208,-0.9355546236038208,-0.9355546236038208,-0.9204814434051514,-0.9204814434051514,-0.9204814434051514,-0.9204814434051514,-0.9390295743942261,-0.9390295743942261,-0.9390295743942261
