frame,t,centroid_x,centroid_y,depth_m,norm_gx,norm_gy,norm_gz,wrist_yaw,wrist_pitch,wrist_roll,curl_thumb,curl_index,curl_middle,curl_ring,curl_pinky,gripper_x_act,gripper_y_act,gripper_z_act,wrist_abduction_yaw_act,wrist_flex_pitch_act,wrist_roll_act,thumb_base_act,thumb_ip_act,thumb_mcp_act,thumb_roll_act,index_abd_act,index_dip_act,index_mcp_act,index_pip_act,middle_dip_act,middle_mcp_act,middle_pip_act,ring_abd_act,ring_dip_act,ring_mcp_act,ring_pip_act,pinky_abd_act,pinky_dip_act,pinky_mcp_act
0,3.366241693496704,210.0,154.0,0.9450000524520874,-0.34272301197052,0.830769419670105,0.35699373483657837,0.45915621519088745,0.7382640242576599,0.11340712755918503,0.056521449238061905,0.030971014872193336,0.029160313308238983,0.050500668585300446,0.038131505250930786,-0.34272301197052,0.830769419670105,0.35699373483657837,-0.08168758451938629,0.47652798891067505,-0.7731857299804688,-0.8869571089744568,-0.8869571089744568,-0.8869571089744568,-0.8869571089744568,-0.9380579590797424,-0.9380579590797424,-0.9380579590797424,-0.9380579590797424,-0.9416793584823608,-0.9416793584823608,-0.9416793584823608,-0.8989986777305603,-0.8989986777305603,-0.8989986777305603,-0.8989986777305603,-0.9237369894981384,-0.9237369894981384,-0.9237369894981384
1,3.4143640995025635,210.0,154.0,0.9440000653266907,-0.34272301197052,0.8276925086975098,0.35699373483657837,0.4612967073917389,0.7378886342048645,0.11367301642894745,0.05786442384123802,0.03297872096300125,0.030406935140490532,0.051848266273736954,0.029916241765022278,-0.34272301197052,0.8276925086975098,0.35699373483657837,-0.07740657031536102,0.47577720880508423,-0.7726539373397827,-0.8842711448669434,-0.8842711448669434,-0.8842711448669434,-0.8842711448669434,-0.9340425729751587,-0.9340425729751587,-0.9340425729751587,-0.9340425729751587,-0.939186155796051,-0.939186155796051,-0.939186155796051,-0.8963034749031067,-0.8963034749031067,-0.8963034749031067,-0.8963034749031067,-0.9401675462722778,-0.9401675462722778,-0.9401675462722778
2,3.4452590942382812,210.0,154.0,0.9440000653266907,-0.34272301197052,0.8276925086975098,0.35699373483657837,0.45766133069992065,0.7378436923027039,0.11302145570516586,0.05457872897386551,0.03149450942873955,0.030287951231002808,0.04880175366997719,0.03165581822395325,-0.34272301197052,0.8276925086975098,0.35699373483657837,-0.08467733860015869,0.47568732500076294,-0.7739570736885071,-0.8908425569534302,-0.8908425569534302,-0.8908425569534302,-0.8908425569534302,-0.9370110034942627,-0.9370110034942627,-0.9370110034942627,-0.9370110034942627,-0.9394240975379944,-0.9394240975379944,-0.9394240975379944,-0.9023965001106262,-0.9023965001106262,-0.9023965001106262,-0.9023965001106262,-0.9366883635520935,-0.9366883635520935,-0.9366883635520935
3,3.494271755218506,210.0,154.0,0.9440000653266907,-0.34272301197052,0.8276925086975098,0.35699373483657837,0.45289549231529236,0.7382591962814331,0.11584904044866562,0.05375856161117554,0.03083360753953457,0.02947653830051422,0.05168139934539795,0.03470581769943237,-0.34272301197052,0.8276925086975098,0.35699373483657837,-0.09420903772115707,0.4765183627605438,-0.7683019042015076,-0.8924828767776489,-0.8924828767776489,-0.8924828767776489,-0.8924828767776489,-0.9383327960968018,-0.9383327960968018,-0.9383327960968018,-0.9383327960968018,-0.9410468935966492,-0.9410468935966492,-0.9410468935966492,-0.8966372013092041,-0.8966372013092041,-0.8966372013092041,-0.8966372013092041,-0.9305883646011353,-0.9305883646011353,-0.9305883646011353
4,3.54128098487854,209.0,154.0,0.9440000653266907,-0.34585288166999817,0.8276925086975098,0.35699373483657837,0.45646366477012634,0.7387778759002686,0.11423853784799576,0.056303415447473526,0.030788259580731392,0.029825329780578613,0.05267278850078583,0.03259008750319481,-0.34585288166999817,0.8276925086975098,0.35699373483657837,-0.08707264810800552,0.47755569219589233,-0.7715229392051697,-0.8873931765556335,-0.8873931765556335,-0.8873931765556335,-0.8873931765556335,-0.9384234547615051,-0.9384234547615051,-0.9384234547615051,-0.9384234547615051,-0.9403493404388428,-0.9403493404388428,-0.9403493404388428,-0.8946544528007507,-0.8946544528007507,-0.8946544528007507,-0.8946544528007507,-0.9348198175430298,-0.9348198175430298,-0.9348198175430298
5,3.5723788738250732,209.0,154.0,0.9410000443458557,-0.34585288166999817,0.8184616565704346,0.35699373483657837,0.45599156618118286,0.738847017288208,0.11441419273614883,0.060374125838279724,0.03193416818976402,0.026705849915742874,0.04219584912061691,0.03624054044485092,-0.34585288166999817,0.8184616565704346,0.35699373483657837,-0.08801683783531189,0.47769400477409363,-0.7711716294288635,-0.8792517185211182,-0.8792517185211182,-0.8792517185211182,-0.8792517185211182,-0.9361316561698914,-0.9361316561698914,-0.9361316561698914,-0.9361316561698914,-0.9465882778167725,-0.9465882778167725,-0.9465882778167725,-0.915608286857605,-0.915608286857605,-0.915608286857605,-0.915608286857605,-0.927518904209137,-0.927518904209137,-0.927518904209137
6,3.6042957305908203,209.0,154.0,0.9440000653266907,-0.34585288166999817,0.8276925086975098,0.35699373483657837,0.4557819962501526,0.7382906079292297,0.11367782950401306,0.057295266538858414,0.03231606259942055,0.02938777022063732,0.048752281814813614,0.035722993314266205,-0.34585288166999817,0.8276925086975098,0.35699373483657837,-0.08843601495027542,0.47658124566078186,-0.7726443409919739,-0.8854094743728638,-0.8854094743728638,-0.8854094743728638,-0.8854094743728638,-0.9353678822517395,-0.9353678822517395,-0.9353678822517395,-0.9353678822517395,-0.9412244558334351,-0.9412244558334351,-0.9412244558334351,-0.9024954438209534,-0.9024954438209534,-0.9024954438209534,-0.9024954438209534,-0.9285539984703064,-0.9285539984703064,-0.9285539984703064
7,3.6353025436401367,209.0,154.0,0.9410000443458557,-0.34585288166999817,0.8184616565704346,0.35699373483657837,0.45687687397003174,0.7385454177856445,0.11251210421323776,0.05340717360377312,0.03211362659931183,0.026442835107445717,0.04727030172944069,0.03636724129319191,-0.34585288166999817,0.8184616565704346,0.35699373483657837,-0.08624624460935593,0.4770908057689667,-0.7749757766723633,-0.8931856751441956,-0.8931856751441956,-0.8931856751441956,-0.8931856751441956,-0.9357727766036987,-0.9357727766036987,-0.9357727766036987,-0.9357727766036987,-0.9471143484115601,-0.9471143484115601,-0.9471143484115601,-0.9054594039916992,-0.9054594039916992,-0.9054594039916992,-0.9054594039916992,-0.9272655248641968,-0.9272655248641968,-0.9272655248641968
8,3.6674273014068604,209.0,154.0,0.9430000185966492,-0.34585288166999817,0.8246154189109802,0.35699373483657837,0.4596959948539734,0.7380732297897339,0.11389971524477005,0.06134010851383209,0.031748365610837936,0.03089279495179653,0.051477719098329544,0.03022618219256401,-0.34585288166999817,0.8246154189109802,0.35699373483657837,-0.08060799539089203,0.4761464297771454,-0.7722005844116211,-0.8773198127746582,-0.8773198127746582,-0.8773198127746582,-0.8773198127746582,-0.9365032911300659,-0.9365032911300659,-0.9365032911300659,-0.9365032911300659,-0.9382144212722778,-0.9382144212722778,-0.9382144212722778,-0.8970445394515991,-0.8970445394515991,-0.8970445394515991,-0.8970445394515991,-0.9395476579666138,-0.9395476579666138,-0.9395476579666138
9,3.699317216873169,209.0,154.0,0.9450000524520874,-0.34585288166999817,0.830769419670105,0.35699373483657837,0.45664459466934204,0.7385553121566772,0.11384553462266922,0.05733393505215645,0.03177940845489502,0.027909521013498306,0.04762762039899826,0.03313867375254631,-0.34585288166999817,0.830769419670105,0.35699373483657837,-0.08671081066131592,0.4771106541156769,-0.7723089456558228,-0.8853321075439453,-0.8853321075439453,-0.8853321075439453,-0.8853321075439453,-0.93644118309021,-0.93644118309021,-0.93644118309021,-0.93644118309021,-0.944180965423584,-0.944180965423584,-0.944180965423584,-0.9047447443008423,-0.9047447443008423,-0.9047447443008423,-0.9047447443008423,-0.9337226748466492,-0.9337226748466492,-0.9337226748466492
10,3.7473273277282715,210.0,154.0,0.9440000653266907,-0.34272301197052,0.8276925086975098,0.35699373483657837,0.45677030086517334,0.7385205626487732,0.11395509541034698,0.06168597936630249,0.03062298707664013,0.02704578824341297,0.048514802008867264,0.04045948013663292,-0.34272301197052,0.8276925086975098,0.35699373483657837,-0.08645939826965332,0.47704118490219116,-0.7720898389816284,-0.876628041267395,-0.876628041267395,-0.876628041267395,-0.876628041267395,-0.9387540221214294,-0.9387540221214294,-0.9387540221214294,-0.9387540221214294,-0.9459084272384644,-0.9459084272384644,-0.9459084272384644,-0.9029703736305237,-0.9029703736305237,-0.9029703736305237,-0.9029703736305237,-0.9190810322761536,-0.9190810322761536,-0.9190810322761536
11,3.7933380603790283,210.0,154.0,0.9430000185966492,-0.34272301197052,0.8246154189109802,0.35699373483657837,0.4568357467651367,0.7387441992759705,0.11240264773368835,0.05610770359635353,0.032326918095350266,0.027391891926527023,0.047027457505464554,0.032397203147411346,-0.34272301197052,0.8246154189109802,0.35699373483657837,-0.08632849901914597,0.4774884283542633,-0.7751947045326233,-0.8877846002578735,-0.8877846002578735,-0.8877846002578735,-0.8877846002578735,-0.9353461861610413,-0.9353461861610413,-0.9353461861610413,-0.9353461861610413,-0.9452162384986877,-0.9452162384986877,-0.9452162384986877,-0.9059450626373291,-0.9059450626373291,-0.9059450626373291,-0.9059450626373291,-0.9352055788040161,-0.9352055788040161,-0.9352055788040161
12,3.8255295753479004,210.0,154.0,0.9430000185966492,-0.34272301197052,0.8246154189109802,0.35699373483657837,0.4595896005630493,0.7384142279624939,0.11327336728572845,0.054219841957092285,0.03109673224389553,0.027901070192456245,0.049185264855623245,0.03456255421042442,-0.34272301197052,0.8246154189109802,0.35699373483657837,-0.08082078397274017,0.47682851552963257,-0.7734532356262207,-0.8915603160858154,-0.8915603160858154,-0.8915603160858154,-0.8915603160858154,-0.9378065466880798,-0.9378065466880798,-0.9378065466880798,-0.9378065466880798,-0.9441978335380554,-0.9441978335380554,-0.9441978335380554,-0.9016294479370117,-0.9016294479370117,-0.9016294479370117,-0.9016294479370117,-0.9308748841285706,-0.9308748841285706,-0.9308748841285706
13,3.856353282928467,210.0,154.0,0.9430000185966492,-0.34272301197052,0.8246154189109802,0.35699373483657837,0.4564061164855957,0.7381792664527893,0.11459852755069733,0.05737680941820145,0.03136729821562767,0.02686859294772148,0.045836515724658966,0.030535561963915825,-0.34272301197052,0.8246154189109802,0.35699373483657837,-0.0871877670288086,0.4763585031032562,-0.7708029747009277,-0.8852463960647583,-0.8852463960647583,-0.8852463960647583,-0.8852463960647583,-0.9372653961181641,-0.9372653961181641,-0.9372653961181641,-0.9372653961181641,-0.9462628364562988,-0.9462628364562988,-0.9462628364562988,-0.9083269834518433,-0.9083269834518433,-0.9083269834518433,-0.9083269834518433,-0.9389289021492004,-0.9389289021492004,-0.9389289021492004
