timestamp,reliability,roll,pitch,yaw
666706,2,-74.93,-26.59,226.86
666710,2,-74.95,-26.2,226.44
666714,2,-74.98,-25.65,225.84
666718,2,-75.02,-25.19,225.34
666722,2,-75.04,-24.69,224.8
666726,2,-75.07,-24.07,224.12
666730,2,-75.09,-23.72,223.73
666733,2,-75.11,-23.1,223.05
666737,2,-75.13,-22.66,222.57
666741,2,-75.15,-22.1,221.95
666745,2,-75.17,-21.59,221.37
666749,2,-75.18,-21.02,220.73
666753,2,-75.2,-20.46,220.11
666757,2,-75.22,-19.9,219.47
666761,2,-75.22,-19.26,218.75
666765,2,-75.23,-18.72,218.15
666769,2,-75.23,-18.1,217.46
666773,2,-75.23,-17.48,216.76
666777,2,-75.23,-16.86,216.05
666781,2,-75.23,-16.14,215.23
666785,2,-75.22,-15.64,214.65
666789,2,-75.2,-14.99,213.91
666793,2,-75.19,-14.4,213.23
666797,2,-75.16,-13.72,212.46
666801,2,-75.13,-13.1,211.74
666805,2,-75.1,-12.43,210.96
666808,2,-75.06,-11.68,210.1
666812,2,-75.02,-11.07,209.4
666816,2,-74.97,-10.34,208.57
666820,2,-74.91,-9.65,207.78
666824,2,-74.84,-8.91,206.94
666828,2,-74.81,-8.47,206.45
666832,2,-74.71,-7.42,205.29
666836,2,-74.62,-6.55,204.34
666839,2,-74.55,-5.92,203.66
666843,2,-74.51,-5.51,203.21
666847,2,-74.38,-4.32,201.95
666851,2,-74.28,-3.42,200.99
666855,2,-74.19,-2.67,200.2
666859,2,-74.15,-2.38,199.9
666862,2,-74.08,-1.85,199.34
666866,2,-73.89,-0.33,197.77
666870,2,-73.82,0.2,197.21
666874,2,-73.74,0.7,196.7
666878,2,-73.53,2.21,195.16
666885,2,-73.31,3.62,193.7
666892,2,-73.16,4.49,192.82
666896,2,-73.08,4.92,192.37
666900,2,-73,5.35,191.93
666903,2,-72.84,6.13,191.12
666907,2,-72.63,7.04,190.17
666911,2,-72.48,7.58,189.6
666915,2,-72.35,8.1,189.04
666918,2,-72.19,8.63,188.46
666922,2,-72.05,9.08,187.97
666926,2,-71.88,9.59,187.41
666930,2,-71.75,10.01,186.95
666933,2,-71.68,10.15,186.78
666937,2,-71.58,10.45,186.46
666941,2,-71.38,10.99,185.87
666945,2,-71.29,11.26,185.57
666949,2,-71.1,11.75,185.04
666953,2,-70.82,12.48,184.25
666957,2,-70.71,12.75,183.96
666960,2,-70.64,12.9,183.78
666964,2,-70.55,13.13,183.53
666968,2,-70.38,13.55,183.08
666972,2,-70.29,13.73,182.87
666976,2,-70.04,14.29,182.24
666980,2,-69.96,14.47,182.04
666984,2,-69.7,15.01,181.44
666988,2,-69.61,15.16,181.25
666992,2,-69.43,15.48,180.89
666996,2,-69.35,15.63,180.71
666999,2,-69.18,15.93,180.36
667003,2,-69.09,16.07,180.19
667007,2,-68.92,16.35,179.87
667011,2,-68.83,16.51,179.68
667015,2,-68.71,16.71,179.45
667019,2,-68.67,16.77,179.38
667023,2,-68.46,17.12,178.98
667026,2,-68.43,17.17,178.91
667030,2,-68.23,17.53,178.5
667034,2,-68.2,17.55,178.47
667038,2,-68,17.9,178.06
667042,2,-67.92,18.02,177.93
667046,2,-67.71,18.36,177.51
667050,2,-67.64,18.47,177.37
667054,2,-67.58,18.57,177.25
667058,2,-67.52,18.67,177.12
667062,2,-67.45,18.76,177.01
667066,2,-67.27,19.03,176.65
667070,2,-67.21,19.09,176.55
667073,2,-67.08,19.25,176.31
667077,2,-66.98,19.35,176.14
667081,2,-66.94,19.38,176.09
667085,2,-66.75,19.55,175.78
667089,2,-66.73,19.55,175.75
667093,2,-66.58,19.66,175.54
667097,2,-66.5,19.72,175.43
667101,2,-66.27,19.91,175.09
667104,2,-66.18,19.99,174.97
667109,2,-65.99,20.15,174.73
667112,2,-65.9,20.23,174.61
667116,2,-65.8,20.32,174.5
667120,2,-65.6,20.46,174.3
667124,2,-65.48,20.53,174.21
667128,2,-65.14,20.76,173.92
667132,2,-65.02,20.85,173.83
667136,2,-64.79,20.99,173.66
667139,2,-64.6,21.1,173.52
667143,2,-64.41,21.24,173.37
667147,2,-64.19,21.4,173.21
667151,2,-64.07,21.51,173.12
667155,2,-63.99,21.58,173.06
667159,2,-63.8,21.78,172.9
667163,2,-63.74,21.86,172.84
667167,2,-63.56,22.07,172.67
667170,2,-63.45,22.21,172.57
667176,2,-63.36,22.34,172.47
667180,2,-63.27,22.47,172.37
667184,2,-63.22,22.54,172.32
667188,2,-63.1,22.73,172.17
667192,2,-63.07,22.79,172.12
667195,2,-63.02,22.86,172.07
667199,2,-62.93,22.97,171.98
667203,2,-62.91,23.01,171.94
667207,2,-62.79,23.17,171.81
667211,2,-62.74,23.23,171.76
667215,2,-62.71,23.27,171.72
667219,2,-62.66,23.32,171.68
667222,2,-62.57,23.4,171.6
667226,2,-62.52,23.44,171.56
667230,2,-62.37,23.54,171.45
667234,2,-62.33,23.57,171.4
667238,2,-62.26,23.61,171.36
667242,2,-62.16,23.7,171.26
667246,2,-62.1,23.74,171.22
667249,2,-62.07,23.78,171.18
667253,2,-62,23.85,171.1
667257,2,-61.96,23.91,171.04
667261,2,-61.92,23.96,170.99
667265,2,-61.89,24.02,170.92
667269,2,-61.85,24.07,170.86
667273,2,-61.82,24.11,170.8
667276,2,-61.79,24.14,170.75
667280,2,-61.76,24.18,170.68
667284,2,-61.74,24.19,170.64
667288,2,-61.71,24.2,170.59
667292,2,-61.67,24.21,170.53
667296,2,-61.66,24.2,170.5
667300,2,-61.62,24.19,170.45
667303,2,-61.59,24.19,170.41
667307,2,-61.58,24.19,170.38
667311,2,-61.56,24.19,170.35
667315,2,-61.47,24.2,170.23
667319,2,-61.45,24.2,170.2
667323,2,-61.44,24.21,170.16
667327,2,-61.39,24.24,170.09
667331,2,-61.37,24.26,170.05
667334,2,-61.36,24.27,170.02
667338,2,-61.34,24.31,169.97
667342,2,-61.29,24.38,169.85
667346,2,-61.28,24.4,169.82
667350,2,-61.27,24.42,169.77
667354,2,-61.24,24.45,169.73
667358,2,-61.21,24.5,169.63
667361,2,-61.19,24.54,169.57
667365,2,-61.13,24.62,169.43
667369,2,-61.11,24.65,169.38
667373,2,-61.08,24.68,169.33
667377,2,-61.01,24.75,169.19
667381,2,-61.01,24.77,169.17
667385,2,-60.94,24.84,169.03
