timestamp,reliability,roll,pitch,yaw
610583,2,-77.59,-71.75,260.22
610587,2,-77.45,-72.23,260.16
610591,2,-77.34,-72.62,260.14
610595,2,-77.23,-72.97,260.07
610599,2,-77.11,-73.37,260.03
610603,2,-77.02,-73.61,259.98
610607,2,-76.82,-74.25,259.91
610612,2,-76.64,-74.8,259.85
610615,2,-76.53,-75.08,259.76
610619,2,-76.25,-75.86,259.61
610623,2,-76.18,-76.06,259.57
610627,2,-75.85,-76.91,259.36
610631,2,-75.8,-77.05,259.32
610637,2,-75.41,-77.93,259.01
610641,2,-75.09,-78.64,258.67
610645,2,-74.82,-79.21,258.38
610652,2,-74.38,-80,257.82
610656,2,-74.24,-80.28,257.64
610660,2,-73.97,-80.77,257.27
610664,2,-73.82,-81.05,257.06
610668,2,-73.7,-81.25,256.89
610672,2,-73.57,-81.47,256.68
610675,2,-73.33,-81.9,256.3
610679,2,-72.96,-82.54,255.76
610683,2,-72.85,-82.76,255.59
610687,2,-72.75,-82.95,255.43
610691,2,-72.64,-83.16,255.26
610695,2,-72.35,-83.7,254.82
610699,2,-72.33,-83.74,254.78
610703,2,-72.14,-84.12,254.51
610707,2,-71.87,-84.65,254.09
610711,2,-71.79,-84.85,253.97
610715,2,-71.73,-85.02,253.88
610719,2,-71.55,-85.39,253.62
610723,2,-71.49,-85.52,253.56
610727,2,-71.42,-85.7,253.47
610731,2,-71.28,-86.01,253.29
610735,2,-71.16,-86.33,253.15
610739,2,-71.09,-86.48,253.07
610743,2,-70.95,-86.92,252.9
610748,2,-70.85,-87.17,252.78
610752,2,-70.81,-87.31,252.73
610756,2,-70.72,-87.54,252.59
610760,2,-70.69,-87.62,252.54
610764,2,-70.62,-87.84,252.4
610768,2,-70.58,-87.98,252.31
610773,2,-70.53,-88.11,252.23
610777,2,-70.49,-88.23,252.15
610781,2,-70.47,-88.29,252.09
610785,2,-70.39,-88.5,251.95
610789,2,-70.36,-88.56,251.89
610793,2,-70.34,-88.66,251.85
610797,2,-70.27,-88.9,251.72
610803,2,-70.21,-89.04,251.63
610807,2,-70.19,-89.14,251.59
610811,2,-70.13,-89.29,251.47
610815,2,-70.09,-89.41,251.39
610819,2,-70.04,-89.51,251.3
610823,2,-70,-89.61,251.2
610827,2,-69.96,-89.73,251.12
610831,2,-69.92,-89.8,250.99
610835,2,-69.88,-89.89,250.89
610839,2,-69.83,-89.95,250.76
610843,2,-69.82,-89.97,250.69
610847,2,-69.75,-90.04,250.48
610850,2,-69.72,-90.07,250.31
610854,2,-69.69,-90.09,250.15
610858,2,-69.65,-90.12,250.01
610862,2,-69.64,-90.12,249.91
610866,2,-69.58,-90.13,249.66
610870,2,-69.55,-90.12,249.47
610874,2,-69.53,-90.14,249.32
610878,2,-69.51,-90.14,249.15
610882,2,-69.49,-90.13,248.97
610886,2,-69.47,-90.15,248.83
610890,2,-69.46,-90.16,248.75
610894,2,-69.42,-90.19,248.53
610898,2,-69.4,-90.22,248.41
610902,2,-69.38,-90.25,248.33
610906,2,-69.35,-90.34,248.19
610910,2,-69.32,-90.42,248.09
610914,2,-69.29,-90.49,247.99
610918,2,-69.26,-90.58,247.88
610922,2,-69.22,-90.66,247.78
610925,2,-69.19,-90.75,247.67
610929,2,-69.15,-90.83,247.55
610933,2,-69.11,-90.91,247.4
610937,2,-69.06,-91.01,247.25
610941,2,-69.02,-91.08,247.11
610945,2,-68.99,-91.11,247.04
610949,2,-68.91,-91.24,246.76
610953,2,-68.86,-91.32,246.56
610957,2,-68.79,-91.38,246.29
610961,2,-68.75,-91.43,246.15
610965,2,-68.68,-91.52,245.86
610969,2,-68.64,-91.57,245.71
610973,2,-68.59,-91.6,245.51
610977,2,-68.47,-91.74,244.98
610981,2,-68.44,-91.8,244.8
610985,2,-68.36,-91.89,244.46
610989,2,-68.3,-91.94,244.23
610993,2,-68.26,-91.99,244.03
610997,2,-68.14,-92.15,243.5
611001,2,-68.09,-92.23,243.32
611005,2,-68.04,-92.28,243.13
611009,2,-67.94,-92.44,242.69
611014,2,-67.92,-92.47,242.64
611018,2,-67.81,-92.64,242.16
611022,2,-67.77,-92.71,242.03
611026,2,-67.74,-92.76,241.88
611033,2,-67.6,-93,241.33
611037,2,-67.56,-93.06,241.18
611041,2,-67.52,-93.11,241.04
611045,2,-67.45,-93.23,240.79
611049,2,-67.37,-93.35,240.45
611053,2,-67.35,-93.39,240.39
611057,2,-67.25,-93.55,239.98
611061,2,-67.22,-93.59,239.84
611065,2,-67.16,-93.68,239.57
611069,2,-67.12,-93.74,239.42
611073,2,-67.08,-93.79,239.22
611076,2,-66.97,-93.98,238.75
611080,2,-66.92,-94.06,238.56
611084,2,-66.86,-94.18,238.32
611088,2,-66.85,-94.19,238.27
611092,2,-66.76,-94.36,237.98
611096,2,-66.71,-94.45,237.82
611100,2,-66.61,-94.65,237.51
611104,2,-66.46,-94.91,237.08
611108,2,-66.45,-94.95,237.04
611112,2,-66.28,-95.26,236.6
611116,2,-66.21,-95.38,236.44
611120,2,-66.15,-95.51,236.27
611124,2,-66.08,-95.62,236.11
611128,2,-65.96,-95.85,235.81
611132,2,-65.82,-96.06,235.49
611136,2,-65.62,-96.41,235.02
611140,2,-65.56,-96.51,234.85
611144,2,-65.5,-96.62,234.69
611148,2,-65.43,-96.72,234.52
611152,2,-65.25,-97.04,234.08
611156,2,-65.1,-97.3,233.7
611159,2,-65.04,-97.41,233.51
611163,2,-64.91,-97.66,233.18
611167,2,-64.85,-97.78,232.99
611171,2,-64.74,-98,232.7
611175,2,-63.92,-95.61,230.28
611179,2,-63.88,-95.84,230.15
611185,2,-63.77,-96.12,229.82
611189,2,-63.69,-96.26,229.63
611193,2,-63.54,-96.56,229.16
611198,2,-63.44,-96.77,228.89
611202,2,-63.38,-96.88,228.69
611206,2,-63.21,-97.22,228.18
611210,2,-63.19,-97.25,228.14
611214,2,-63.01,-97.6,227.59
611218,2,-62.96,-97.7,227.39
611222,2,-62.91,-97.81,227.21
611228,2,-62.77,-98.11,226.72
611232,2,-62.65,-98.39,226.24
611236,2,-62.61,-98.52,226.07
611240,2,-62.5,-98.78,225.6
611244,2,-62.41,-99.01,225.22
611248,2,-62.34,-99.21,224.92
611251,2,-62.26,-99.42,224.54
611255,2,-62.15,-99.72,224.08
611259,2,-62.09,-99.89,223.83
611263,2,-61.99,-100.14,223.47
611267,2,-61.9,-100.4,223.13
611271,2,-61.79,-100.67,222.78
611275,2,-61.7,-100.91,222.45
611280,2,-61.59,-101.19,222.12
611284,2,-61.49,-101.45,221.81
611288,2,-61.48,-101.48,221.77
611292,2,-61.35,-101.79,221.42
611296,2,-61.16,-102.24,220.9
611300,2,-61.11,-102.38,220.75
611304,2,-61,-102.64,220.44
611308,2,-60.91,-102.87,220.19
611312,2,-60.88,-102.93,220.11
611316,2,-60.73,-103.3,219.66
611320,2,-60.68,-103.42,219.52
611324,2,-60.64,-103.53,219.37
611329,2,-60.53,-103.82,218.96
611333,2,-60.52,-103.85,218.9
611337,2,-60.4,-104.19,218.4
611341,2,-60.37,-104.24,218.27
611345,2,-60.34,-104.34,218.12
611349,2,-60.24,-104.6,217.6
611356,2,-60.15,-104.81,217.11
611360,2,-60.1,-104.95,216.77
611367,2,-60.03,-105.08,216.42
611371,2,-60.01,-105.14,216.26
611375,2,-59.95,-105.26,215.94
611379,2,-59.92,-105.32,215.78
611383,2,-59.85,-105.47,215.41
611387,2,-59.85,-105.5,215.35
611391,2,-59.77,-105.66,215
611395,2,-59.72,-105.75,214.81
611399,2,-59.71,-105.78,214.74
611403,2,-59.65,-105.93,214.46
611407,2,-59.63,-105.95,214.42
