timestamp,reliability,roll,pitch,yaw
560118,2,-60.48,-18.72,223.67
560122,2,-60.33,-18.61,223.56
560126,2,-59.86,-18.2,223.15
560130,2,-59.68,-18.03,222.98
560134,2,-59.55,-17.91,222.86
560138,2,-59.39,-17.77,222.72
560142,2,-58.72,-17.18,222.15
560146,2,-58.52,-17.01,221.98
560150,2,-58.29,-16.8,221.78
560154,2,-57.95,-16.53,221.52
560158,2,-57.68,-16.31,221.31
560162,2,-57.56,-16.21,221.21
560166,2,-56.95,-15.73,220.75
560170,2,-56.71,-15.55,220.59
560174,2,-56.3,-15.26,220.3
560178,2,-56.02,-15.05,220.1
560182,2,-55.44,-14.65,219.72
560185,2,-55.19,-14.48,219.57
560190,2,-54.94,-14.32,219.42
560194,2,-54.47,-14.03,219.14
560198,2,-54.08,-13.79,218.92
560202,2,-53.69,-13.56,218.69
560209,2,-52.98,-13.14,218.3
560216,2,-52.21,-12.72,217.9
560220,2,-51.95,-12.58,217.77
560224,2,-51.7,-12.45,217.64
560228,2,-50.9,-12.04,217.24
560232,2,-50.58,-11.89,217.09
560236,2,-50.38,-11.78,216.98
560240,2,-50.09,-11.65,216.85
560244,2,-49.04,-11.18,216.39
560248,2,-48.74,-11.05,216.26
560252,2,-48.42,-10.91,216.12
560256,2,-47.93,-10.69,215.92
560260,2,-47.57,-10.53,215.77
560264,2,-46.87,-10.23,215.52
560268,2,-46.57,-10.1,215.41
560272,2,-46.29,-9.97,215.32
560276,2,-45.79,-9.74,215.16
560279,2,-45.49,-9.6,215.06
560283,2,-45.26,-9.49,214.99
560287,2,-45.02,-9.37,214.93
560291,2,-44.26,-9.01,214.72
560295,2,-44.01,-8.88,214.65
560299,2,-43.78,-8.76,214.6
560303,2,-43.08,-8.39,214.43
560310,2,-42.63,-8.14,214.31
560313,2,-42.4,-8.02,214.25
560317,2,-42.17,-7.9,214.2
560321,2,-41.73,-7.66,214.08
560325,2,-41.52,-7.55,214.03
560330,2,-41.1,-7.33,213.92
560334,2,-40.68,-7.13,213.82
560338,2,-40.14,-6.9,213.68
560342,2,-40.07,-6.86,213.66
560346,2,-39.53,-6.65,213.51
560349,2,-39.48,-6.63,213.49
560356,2,-38.95,-6.44,213.33
560359,2,-38.56,-6.32,213.21
560363,2,-38.37,-6.26,213.15
560367,2,-37.99,-6.17,213.03
560371,2,-37.71,-6.09,212.92
